"a" "b" "contagem"
"1" "2" 74
"1" "3" 61
"1" "4" 33
"1" "5" 50
"1" "6" 40
"1" "7" 45
"1" "8" 24
"1" "9" 99
"1" "10" 37
"1" "11" 41
"1" "12" 36
"1" "13" 37
"1" "14" 45
"1" "15" 42
"1" "16" 54
"1" "17" 21
"1" "18" 9
"1" "19" 15
"1" "20" 33
"1" "21" 53
"1" "22" 20
"1" "23" 31
"1" "24" 9
"1" "25" 161
"1" "26" 32
"1" "27" 11
"1" "28" 9
"1" "29" 13
"1" "30" 33
"1" "31" 13
"1" "32" 20
"1" "33" 19
"1" "34" 39
"1" "35" 22
"1" "36" 10
"1" "37" 17
"1" "38" 28
"1" "39" 43
"1" "40" 18
"1" "41" 4
"1" "42" 12
"1" "43" 22
"1" "44" 29
"1" "45" 50
"1" "46" 28
"1" "47" 22
"1" "48" 14
"1" "49" 23
"1" "50" 29
"1" "51" 39
"1" "52" 38
"1" "53" 23
"1" "54" 61
"1" "55" 59
"1" "56" 42
"1" "57" 16
"1" "58" 48
"1" "59" 39
"1" "60" 27
"1" "61" 49
"1" "62" 15
"1" "70" 54
"1" "73" 4
"1" "81" 1
"1" "85" 23
"1" "88" 26
"1" "90" 4
"1" "91" 1
"1" "95" 51
"1" "98" 1
"1" "100" 1
"1" "104" 1
"1" "105" 1
"1" "108" 10
"1" "113" 1
"1" "114" 4
"1" "115" 5
"1" "119" 1
"1" "120" 26
"1" "121" 18
"1" "129" 1
"1" "136" 1
"1" "139" 1
"1" "140" 1
"1" "144" 5
"1" "149" 1
"1" "150" 5
"1" "151" 19
"1" "153" 8
"1" "156" 1
"1" "157" 2
"1" "159" 3
"1" "165" 1
"1" "169" 1
"1" "176" 1
"1" "180" 1
"1" "182" 1
"1" "188" 1
"1" "190" 1
"1" "192" 1
"1" "215" 1
"1" "216" 1
"1" "219" 1
"1" "226" 1
"1" "230" 1
"1" "244" 1
"1" "248" 1
"1" "262" 1
"1" "267" 1
"1" "272" 1
"1" "277" 1
"1" "284" 1
"1" "285" 1
"1" "286" 1
"1" "287" 2
"1" "293" 1
"1" "294" 13
"1" "295" 1
"1" "297" 2
"1" "300" 1
"1" "301" 1
"1" "302" 1
"1" "306" 32
"1" "311" 6
"1" "318" 9
"1" "320" 1
"1" "337" 27
"1" "338" 20
"1" "343" 1
"1" "344" 1
"1" "345" 10
"1" "347" 1
"1" "348" 1
"1" "349" 1
"1" "351" 1
"1" "353" 1
"1" "358" 1
"1" "359" 1
"1" "362" 1
"1" "363" 9
"1" "373" 1
"1" "375" 44
"1" "377" 21
"1" "378" 1
"1" "379" 1
"1" "396" 5
"1" "401" 11
"1" "407" 1
"1" "408" 3
"1" "410" 10
"1" "412" 3
"1" "414" 1
"1" "415" 1
"1" "426" 1
"1" "427" 22
"1" "433" 10
"1" "435" 7
"1" "436" 20
"1" "437" 24
"1" "439" 27
"1" "440" 1
"1" "442" 1
"1" "446" 1
"1" "447" 1
"1" "452" 1
"1" "455" 1
"1" "458" 1
"1" "459" 6
"1" "460" 22
"1" "463" 7
"1" "467" 1
"1" "468" 1
"1" "469" 1
"1" "471" 1
"1" "472" 18
"1" "475" 1
"1" "476" 1
"1" "482" 1
"1" "486" 1
"1" "488" 1
"1" "491" 1
"1" "501" 1
"1" "506" 1
"1" "510" 1
"1" "511" 1
"1" "513" 1
"1" "515" 1
"1" "517" 1
"1" "519" 1
"1" "522" 1
"1" "524" 1
"1" "525" 1
"1" "527" 1
"1" "534" 20
"1" "535" 1
"1" "536" 1
"1" "540" 1
"1" "546" 1
"1" "548" 32
"1" "550" 1
"1" "551" 1
"1" "553" 1
"1" "554" 5
"1" "557" 14
"1" "558" 1
"1" "567" 1
"1" "571" 1
"1" "574" 5
"1" "575" 52
